EnterpriseSquare, 53.50166466, -113.523831238
Belvedere, 53.586330988, -113.426331628
Central, 53.537997848, -113.488498046
CenturyPark, 53.454498182, -113.509831294 
Churchill, 53.539831174, -113.486831386
Clareview, 53.600997596, -113.406831706
Coliseum, 53.555997776, -113.46916479
Corona, 53.537831182, -113.504497982
Grandin, 53.53499786, -113.506164642
HealthSciences, 53.518831258, -113.522164578
KingswayRoyal, 53.554497782, -113.500331332
MacEwan, 53.541997832, -113.49249803
McKernan, 53.507831302, -113.522331244
NAIT, 53.5596144282, -113.503414653
SouthCampus, 53.50166466, -113.523831238
Southgate, 53.484664728, -113.5166646
Stadium, 53.555997776, -113.46916479
University, 53.52166458, -113.519831254
